Timestamp_(ms),Step,Original_Heading,Corrected_Heading,East,North
1740465200403,131.5,15.248871,13.265056324675339,836552.8962378964,818645.4823199381
1740465200843,132.0,16.354599,15.47651232467534,836552.9880710036,818645.8666053443
1740465201103,132.5,17.121117,17.009548324675343,836553.0835893245,818646.2590028471
1740465201383,133.0,16.341545,15.45040432467534,836553.1564346418,818646.6669210206
1740465201643,133.5,15.978891,14.725096324675341,836553.2134898399,818647.0879782067
1740465201943,134.0,19.82859,22.424494324675337,836553.3251893249,818647.4986848237
1740465202184,134.5,21.046188,24.85969032467534,836553.4466088183,818647.9119217485
1740465202463,135.0,18.477043,19.721400324675336,836553.5158269979,818648.3534124423
1740465202743,135.5,18.784016,20.335346324675342,836553.5796723759,818648.803999921
1740465203023,136.0,21.308855,25.385024324675342,836553.6738620248,818649.2481569257
1740465203264,136.5,21.056578,24.880470324675336,836553.75296053,818649.705068435
1740465203443,137.0,19.028204,20.823722324675337,836553.7876499946,818650.1867507014
1740465203828,137.5,18.008615,18.784544324675338,836553.7936374685,818650.6854132637
1740465204084,138.0,22.309679,27.386672324675338,836553.8573208946,818651.1652321251
1740465204223,138.5,23.043552,28.854418324675336,836553.9198706138,818651.649941483
1740465204523,139.0,22.604113,27.975540324675343,836553.9625679157,818652.1494507154
1740465204863,139.5,21.584225,25.93576432467534,836553.9756932716,818652.6683644742
1740465205083,140.0,22.888266,28.543846324675343,836553.9952707663,818653.1881290227
1740465205364,140.5,25.493069,33.75345232467534,836554.0396353157,818653.6956796083
1740465205723,141.0,24.150524,31.06836232467534,836554.0487965196,818654.2277435978
1740465205823,141.5,22.88513,28.53757432467534,836554.0227489528,818654.7829656943
1740465206163,142.0,21.022438,24.812190324675342,836553.950818802,818655.3652831228
1740465206543,142.5,23.156403,29.08012032467534,836553.8953009427,818655.9431493557
1740465206803,143.0,22.018473,26.80426032467534,836553.8040780883,818656.5434054078
1740465207063,143.5,19.885973,22.53926032467534,836553.6598811373,818657.1727260461
1740465207304,144.0,19.80576,22.37883432467534,836553.4947853494,818657.8163333759
1740465207588,144.5,21.841724,26.45076232467534,836553.3419545806,818658.4592592549
1740465207825,145.0,20.116356,23.00002632467534,836553.1400083269,818659.1295927683
1740465208003,145.5,19.758745,22.284804324675342,836552.9098014162,818659.8175285923
1740465208503,146.0,20.74808,24.263474324675343,836552.6721665241,818660.514276744
1740465208623,146.5,21.652914,26.073142324675338,836552.424401189,818661.2205334796
1740465209044,147.0,20.57519,23.917694324675338,836552.1336035299,818661.9517721696
1740465209303,147.5,19.65808,22.083474324675343,836551.8008754737,818662.7069500248
1740465209523,148.0,19.613087,21.99348832467534,836551.4390874513,818663.4807495709
1740465209843,148.5,22.36759,27.50249432467534,836551.0917788786,818664.2532679138
1740465210164,149.0,20.789772,24.34685832467534,836550.6882464341,818665.0578663338
1740465210423,149.5,19.213377,21.194068324675342,836550.2263499075,818665.8939960422
1740465210743,150.0,20.538334,23.843982324675338,836549.7517784614,818666.7428240094
1740465210987,150.5,21.371227,25.509768324675342,836549.2545822323,818667.6081363952
1740465211283,151.0,20.111128,22.98957032467534,836548.6993033175,818668.5062417808
1740465211403,151.5,19.645523,22.05836032467534,836548.0967579257,818669.4322286275
1740465211763,152.0,16.802982,16.37327832467534,836547.4051571263,818670.4006111914
1740465212004,152.5,19.320045,21.40740432467534,836546.7118845804,818671.3816796507
1740465212463,153.0,16.651384,16.07008232467534,836545.9280450202,818672.4062446533
1740465212766,153.5,16.483976,15.735266324675337,836545.0931192505,818673.4613203494
1740465213063,154.0,17.369349,17.50601232467534,836544.2225099803,818674.5430419567
1740465213263,154.5,18.437813,19.642940324675337,836543.3165642394,818675.651368544
