Time_relative,compass
17.768,339.17844
17.788,339.88693
17.808,339.1783
17.828,337.46826
17.848,336.8386
17.868,337.23727
17.888,337.7549
17.908,338.30746
17.928,338.5529
17.949,338.43683
17.968,338.85056
17.988,338.81592
18.009,339.7259
18.029,338.78098
18.049,338.80704
18.069,338.5151
18.089,337.8691
18.11,337.57544
18.128,337.5573
18.148,337.5628
18.168,338.18668
18.189,337.53546
18.208,337.01422
18.228,337.10358
18.248,337.00772
18.27,336.79227
18.288,336.43268
18.308,336.5987
18.328,336.06613
18.348,335.31873
18.369,334.54312
18.388,334.13068
18.408,333.5751
18.428,332.77133
18.448,332.574
18.468,333.09244
18.488,332.7344
18.508,332.69766
18.528,332.57806
18.548,332.50644
18.568,332.5277
18.588,332.85712
18.609,332.634
18.628,332.4345
18.649,332.76413
18.668,333.1781
18.688,333.64694
18.708,333.66876
18.728,334.55704
18.749,337.9599
18.768,333.8743
18.789,333.47205
18.808,335.0842
18.828,335.52634
18.849,334.73245
18.869,335.17786
18.888,335.8465
18.908,335.7337
18.929,335.85663
18.949,336.03452
18.968,335.66867
18.988,335.9158
19.009,336.20422
19.029,336.37274
19.048,336.51553
19.068,336.32123
19.09,336.35376
19.109,336.75296
19.128,337.08865
19.148,336.90732
19.17,336.77023
19.188,336.75635
19.208,337.2349
19.228,336.57364
19.248,336.5384
19.268,335.93625
19.288,335.46408
19.308,335.13556
19.328,334.8391
19.348,334.88452
19.369,335.32758
19.388,335.29913
19.408,335.17703
19.428,335.21677
19.448,335.46548
19.468,335.64624
19.489,335.71356
19.508,335.35355
19.528,335.1069
19.548,335.0051
19.569,334.57
19.588,333.9651
19.608,334.50482
19.628,334.5082
19.649,334.3674
19.668,334.56274
19.688,335.02237
19.708,335.31036
19.729,335.8804
19.748,335.31183
19.768,334.9898
19.788,335.6835
19.809,335.55057
19.828,335.63425
19.848,334.88095
19.868,334.98804
19.888,335.07828
19.908,334.78934
19.928,335.3965
19.948,335.74637
19.968,335.63895
19.988,336.06598
20.008,335.89517
20.028,335.72412
20.048,335.8898
20.068,335.51102
20.088,335.1029
20.108,334.5571
20.128,334.29297
20.148,333.85654
20.168,333.77774
20.189,333.66003
20.208,334.2943
20.228,335.40732
20.248,335.9284
20.268,337.0564
20.288,337.64474
20.309,337.63907
20.329,337.9211
20.348,338.247
20.369,338.7005
20.388,338.144
20.408,338.19815
20.428,338.33005
20.448,338.02948
20.468,338.27954
20.489,338.63733
20.509,337.25854
20.528,336.8529
20.548,337.26047
20.568,337.4601
20.588,338.1192
20.608,338.1436
20.628,338.33652
20.648,337.9441
20.668,338.98743
20.688,339.06387
20.708,338.83542
20.728,339.41464
20.748,339.56888
20.768,339.2214
20.788,339.81418
20.808,340.66568
20.828,340.53186
20.848,340.00616
20.868,340.3827
20.888,340.24292
20.908,339.67722
20.928,340.06735
20.948,340.37836
20.968,340.59534
20.988,339.93008
21.008,339.88266
21.029,340.42654
21.048,340.99838
21.068,341.06125
21.088,340.51672
21.109,340.8396
21.129,342.2395
21.148,342.2754
21.168,342.17258
21.189,341.6757
21.208,341.02554
21.228,339.95334
21.249,339.33035
21.27,339.7666
21.288,340.3301
21.308,340.36423
21.328,340.4238
21.348,341.05704
21.369,342.1424
21.388,342.75677
21.408,343.29944
21.428,344.28217
21.448,344.3484
21.468,343.7553
21.488,343.87436
21.508,344.3116
21.528,343.92807
21.548,343.4684
21.568,342.85178
21.588,342.16617
21.608,341.81952
21.628,341.9447
21.648,340.7202
21.668,339.5305
21.688,338.70068
21.708,339.30273
21.728,338.8313
21.749,336.9862
21.768,334.0984
21.788,332.23203
21.808,330.07416
21.828,329.32935
21.849,328.7797
21.869,328.20172
21.888,326.0094
21.908,325.02646
21.928,323.91116
21.948,324.0875
21.968,324.5035
21.988,324.9825
22.008,326.25824
22.028,326.5522
22.049,326.6946
22.068,326.83755
22.088,326.77155
22.108,326.92853
22.129,326.6669
22.148,325.97528
22.169,326.40784
22.188,326.60538
22.208,326.49402
22.228,326.91608
22.251,327.6878
22.268,327.83807
22.289,328.66165
22.308,329.00546
22.329,328.4838
22.348,327.47614
22.368,327.21677
22.388,326.7715
22.409,326.02386
22.429,325.99738
22.448,325.76553
22.469,325.3363
22.489,325.82574
22.508,326.1297
22.528,326.17508
22.548,325.8957
22.568,326.0122
22.588,325.8131
22.608,325.27933
22.629,324.94778
22.649,325.14774
22.668,325.40552
22.688,325.50864
22.708,325.64905
22.729,325.90915
22.748,326.44693
