Time (s),Original_Heading,Corrected_Heading,Original_East,Original_North,Corrected_East,Corrected_North
132.09,301.48,301.48,836540.2127334551,818660.9302982514,836539.7892398308,818656.2554476042
132.1,301.83,301.83,836540.2079077106,818660.9332938385,836539.7844140861,818656.2584431913
132.11,302.0,302.0,836540.2030908751,818660.9363037315,836539.7795972506,818656.2614530843
132.12,302.19,302.19,836540.1982840475,818660.9393295806,836539.7747904231,818656.2644789334
132.13,302.39,302.39,836540.1934878116,818660.9423721897,836539.7699941873,818656.2675215425
132.14,302.61,302.61,836540.1887032944,818660.9454331928,836539.7652096701,818656.2705825455
132.15,303.08,303.08,836540.1839440465,818660.9485333409,836539.7604504221,818656.2736826937
132.16,303.31,303.31,836540.1791972826,818660.9516525677,836539.7557036582,818656.2768019205
132.17,303.53,303.53,836540.1744625303,818660.9547899987,836539.750968906,818656.2799393515
132.18,303.75,303.75,836540.1697398602,818660.9579455872,836539.7462462359,818656.28309494
132.19,303.95,303.95,836540.1650282323,818660.961117641,836539.7415346078,818656.2862669937
132.2,304.32,304.32,836540.1603371876,818660.9643200558,836539.7368435633,818656.2894694086
132.21,304.48,304.48,836540.1556551047,818660.9675355565,836539.7321614804,818656.2926849093
132.22,304.63,304.63,836540.1509814543,818660.9707633052,836539.7274878299,818656.295912658
132.23,304.79,304.79,836540.1463168362,818660.9740040915,836539.7228232118,818656.2991534442
132.24,304.96,304.96,836540.1416618545,818660.977258703,836539.71816823,818656.3024080558
132.25,305.17,305.17,836540.1370188338,818660.9805303552,836539.7135252093,818656.305679708
132.26,305.64,305.64,836540.1324028051,818660.983839983,836539.7089091807,818656.3089893358
132.27,305.88,305.88,836540.1278006806,818660.9871689178,836539.7043070561,818656.3123182706
132.28,306.09,306.09,836540.1232107877,818660.9905146974,836539.6997171633,818656.3156640502
132.29,306.27,306.27,836540.1186314299,818660.9938748798,836539.6951378055,818656.3190242326
132.3,306.41,306.41,836540.1140602946,818660.9972462417,836539.6905666701,818656.3223955944
132.31,306.64,306.64,836540.10950273,818661.0006359268,836539.6860091056,818656.3257852796
132.32,306.71,306.71,836540.10494931,818661.0040311785,836539.6814556856,818656.3291805313
132.33,306.75,306.75,836540.1003982612,818661.0074296072,836539.6769046368,818656.33257896
132.34,306.76,306.76,836540.0958478062,818661.0108288297,836539.6723541818,818656.3359781825
