Time (s),Original_Heading,Improved_Heading,Original_East,Original_North,Improved_East,Improved_North
39.7,5.62,5.62,836560.8436619529,818627.1213551565,836560.8436619529,818627.1213551565
39.71,5.6,5.6,836560.8442162143,818627.1270079557,836560.8442162143,818627.1270079557
39.72,5.58,5.58,836560.8447685022,818627.1326609488,836560.8447685022,818627.1326609488
39.73,5.57,5.57,836560.8453198046,818627.1383140387,836560.8453198046,818627.1383140387
39.74,5.56,5.56,836560.8458701193,818627.1439672237,836560.8458701193,818627.1439672237
39.75,5.58,5.58,836560.8464224072,818627.1496202167,836560.8464224072,818627.1496202167
39.76,5.59,5.59,836560.8469756829,818627.1552731128,836560.8469756829,818627.1552731128
39.77,5.6,5.6,836560.8475299441,818627.1609259119,836560.8475299441,818627.1609259119
39.78,5.62,5.62,836560.8480861788,818627.1665785192,836560.8480861788,818627.1665785192
39.79,5.62,5.62,836560.8486424134,818627.1722311265,836560.8486424134,818627.1722311265
39.8,5.63,5.63,836560.8491996357,818627.1778836347,836560.8491996357,818627.1778836347
39.81,5.63,5.63,836560.849756858,818627.183536143,836560.849756858,818627.183536143
39.82,5.62,5.62,836560.8503130926,818627.1891887502,836560.8503130926,818627.1891887502
39.83,5.62,5.62,836560.8508693272,818627.1948413575,836560.8508693272,818627.1948413575
39.84,5.62,5.62,836560.8514255618,818627.2004939647,836560.8514255618,818627.2004939647
39.85,5.63,5.63,836560.851982784,818627.2061464731,836560.851982784,818627.2061464731
39.86,5.64,5.64,836560.852540992,818627.2117988844,836560.852540992,818627.2117988844
39.87,5.66,5.66,836560.8531011732,818627.2174511019,836560.8531011732,818627.2174511019
39.88,5.68,5.68,836560.8536633278,818627.2231031234,836560.8536633278,818627.2231031234
39.89,5.69,5.69,836560.8542264679,818627.2287550459,836560.8542264679,818627.2287550459
39.9,5.69,5.69,836560.854789608,818627.2344069685,836560.854789608,818627.2344069685
39.91,5.68,5.68,836560.8553517626,818627.24005899,836560.8553517626,818627.24005899
39.92,5.66,5.66,836560.8559119438,818627.2457112074,836560.8559119438,818627.2457112074
39.93,5.65,5.65,836560.8564711394,818627.2513635218,836560.8564711394,818627.2513635218
39.94,5.64,5.64,836560.8570293473,818627.2570159332,836560.8570293473,818627.2570159332
39.95,5.64,5.64,836560.8575875552,818627.2626683445,836560.8575875552,818627.2626683445
39.96,5.65,5.65,836560.8581467508,818627.268320659,836560.8581467508,818627.268320659
39.97,5.66,5.66,836560.858706932,818627.2739728764,836560.858706932,818627.2739728764
39.98,5.66,5.66,836560.8592671133,818627.2796250938,836560.8592671133,818627.2796250938
39.99,5.67,5.67,836560.8598282802,818627.2852772123,836560.8598282802,818627.2852772123
40.0,5.67,5.67,836560.860389447,818627.2909293307,836560.860389447,818627.2909293307
40.01,5.69,5.69,836560.8609525872,818627.2965812533,836560.8609525872,818627.2965812533
40.02,5.7,5.7,836560.861516715,818627.3022330769,836560.861516715,818627.3022330769
40.03,5.71,5.71,836560.8620818285,818627.3078848015,836560.8620818285,818627.3078848015
40.04,5.72,5.72,836560.8626479276,818627.3135364292,836560.8626479276,818627.3135364292
40.05,5.73,5.73,836560.8632150145,818627.3191879579,836560.8632150145,818627.3191879579
40.06,5.73,5.73,836560.8637821012,818627.3248394866,836560.8637821012,818627.3248394866
40.07,5.73,5.73,836560.864349188,818627.3304910153,836560.864349188,818627.3304910153
40.08,5.73,5.73,836560.8649162748,818627.336142544,836560.8649162748,818627.336142544
40.09,5.72,5.72,836560.865482374,818627.3417941717,836560.865482374,818627.3417941717
40.1,5.71,5.71,836560.8660474875,818627.3474458962,836560.8660474875,818627.3474458962
40.11,5.71,5.71,836560.8666126009,818627.3530976209,836560.8666126009,818627.3530976209
40.12,5.71,5.71,836560.8671777144,818627.3587493455,836560.8671777144,818627.3587493455
40.13,5.72,5.72,836560.8677438135,818627.3644009732,836560.8677438135,818627.3644009732
40.14,5.74,5.74,836560.868311886,818627.370052403,836560.868311886,818627.370052403
40.15,5.75,5.75,836560.8688809441,818627.3757037317,836560.8688809441,818627.3757037317
40.16,5.77,5.77,836560.8694519754,818627.3813548625,836560.8694519754,818627.3813548625
40.17,5.82,5.82,836560.8700279391,818627.3870054925,836560.8700279391,818627.3870054925
40.18,5.84,5.84,836560.870605874,818627.3926559204,836560.870605874,818627.3926559204
40.19,5.85,5.85,836560.8711847946,818627.3983062473,836560.8711847946,818627.3983062473
40.2,5.86,5.86,836560.8717647028,818627.4039564732,836560.8717647028,818627.4039564732
40.21,5.87,5.87,836560.8723455968,818627.4096065982,836560.8723455968,818627.4096065982
40.22,5.9,5.9,836560.8729294495,818627.4152564182,836560.8729294495,818627.4152564182
40.23,5.91,5.91,836560.8735142881,818627.4209061372,836560.8735142881,818627.4209061372
40.24,5.91,5.91,836560.8740991266,818627.4265558562,836560.8740991266,818627.4265558562
40.25,5.92,5.92,836560.8746849507,818627.4322054721,836560.8746849507,818627.4322054721
40.26,5.92,5.92,836560.8752707748,818627.4378550882,836560.8752707748,818627.4378550882
40.27,5.94,5.94,836560.8758585702,818627.4435045002,836560.8758585702,818627.4435045002
40.28,5.96,5.96,836560.876448339,818627.4491537062,836560.876448339,818627.4491537062
40.29,5.98,5.98,836560.877040079,818627.4548027061,836560.877040079,818627.4548027061
40.3,6.0,6.0,836560.8776337904,818627.4604515,836560.8776337904,818627.4604515
40.31,6.01,6.01,836560.8782284872,818627.466100189,836560.8782284872,818627.466100189
40.32,5.99,5.99,836560.8788212129,818627.4717490859,836560.8788212129,818627.4717490859
40.33,5.96,5.96,836560.8794109817,818627.4773982919,836560.8794109817,818627.4773982919
40.34,5.93,5.93,836560.8799977915,818627.4830478069,836560.8799977915,818627.4830478069
40.35,5.91,5.91,836560.8805826299,818627.4886975259,836560.8805826299,818627.4886975259
40.36,5.91,5.91,836560.8811674684,818627.4943472449,836560.8811674684,818627.4943472449
40.37,5.94,5.94,836560.8817552638,818627.4999966569,836560.8817552638,818627.4999966569
40.38,5.96,5.96,836560.8823450325,818627.5056458629,836560.8823450325,818627.5056458629
40.39,5.97,5.97,836560.882935787,818627.5112949659,836560.882935787,818627.5112949659
40.4,5.97,5.97,836560.8835265413,818627.5169440688,836560.8835265413,818627.5169440688
40.41,5.97,5.97,836560.8841172957,818627.5225931718,836560.8841172957,818627.5225931718
40.42,5.96,5.96,836560.8847070644,818627.5282423778,836560.8847070644,818627.5282423778
40.43,5.96,5.96,836560.8852968331,818627.5338915837,836560.8852968331,818627.5338915837
40.44,5.95,5.95,836560.8858856162,818627.5395408927,836560.8858856162,818627.5395408927
40.45,5.94,5.94,836560.8864734117,818627.5451903048,836560.8864734117,818627.5451903048
40.46,5.93,5.93,836560.8870602214,818627.5508398197,836560.8870602214,818627.5508398197
40.47,5.92,5.92,836560.8876460455,818627.5564894357,836560.8876460455,818627.5564894357
40.48,5.91,5.91,836560.8882308841,818627.5621391546,836560.8882308841,818627.5621391546
40.49,5.91,5.91,836560.8888157225,818627.5677888737,836560.8888157225,818627.5677888737
40.5,5.91,5.91,836560.889400561,818627.5734385927,836560.889400561,818627.5734385927
40.51,5.92,5.92,836560.8899863851,818627.5790882086,836560.8899863851,818627.5790882086
40.52,5.92,5.92,836560.8905722093,818627.5847378246,836560.8905722093,818627.5847378246
40.53,5.91,5.91,836560.8911570478,818627.5903875437,836560.8911570478,818627.5903875437
40.54,5.89,5.89,836560.8917399129,818627.5960374667,836560.8917399129,818627.5960374667
40.55,5.88,5.88,836560.8923217925,818627.6016874906,836560.8923217925,818627.6016874906
40.56,5.86,5.86,836560.8929017008,818627.6073377166,836560.8929017008,818627.6073377166
40.57,5.86,5.86,836560.893481609,818627.6129879425,836560.893481609,818627.6129879425
40.58,5.87,5.87,836560.8940625029,818627.6186380675,836560.8940625029,818627.6186380675
40.59,5.88,5.88,836560.8946443824,818627.6242880914,836560.8946443824,818627.6242880914
40.6,5.9,5.9,836560.8952282353,818627.6299379115,836560.8952282353,818627.6299379115
40.61,5.91,5.91,836560.8958130737,818627.6355876304,836560.8958130737,818627.6355876304
