Timestamp_(ms),Type,step,axisZAngle,gyroSumFromstart0,compass,GroundTruth,value_4,value_5,turns,GyroStartByGroundTruth,KalmanFiltered_Heading,EstimatedBias
1740465223256,Gyro,154.5,0.048803255,26.603205,326.10907,0.0,0.0,0.0,6,26.651968590000024,326.9314347604927,0.3163253133753522
1740465223267,Gyro,154.5,0.055983517,26.547222,325.6466,0.0,0.0,0.0,6,26.595985589999998,326.5484053647898,0.3554898063367615
1740465223278,Gyro,154.5,0.12478607,26.422436,325.02847,0.0,0.0,0.0,6,26.471199590000026,326.12866924729036,0.3996577921347861
1740465223285,Gyro,154.5,0.06839651,26.35404,324.6984,0.0,0.0,0.0,6,26.40280359000002,325.6172045064759,0.44499297717518616
1740465223297,Gyro,154.5,0.075247824,26.278791,324.51276,0.0,0.0,0.0,6,26.327554589999977,325.18859382736355,0.4886755484083787
1740465223307,Gyro,154.5,0.0846927,26.1941,324.76358,0.0,0.0,0.0,6,26.242863590000013,324.87292250989367,0.5202331789321855
1740465223316,Gyro,154.5,0.09418602,26.099913,324.43185,0.0,0.0,0.0,6,26.14867658999998,324.8201512488173,0.5249193382314516
1740465223326,Gyro,154.5,0.19730332,25.902609,323.77206,0.0,0.0,0.0,6,25.951372590000005,324.6382858675556,0.5423144939014702
1740465223336,Gyro,154.5,0.0894343,25.813175,323.55045,0.0,0.0,0.0,6,25.861938590000022,324.2340612850291,0.5815985798917163
1740465223345,Gyro,154.5,0.06838788,25.744787,323.82114,0.0,0.0,0.0,6,25.793550589999995,323.9145228170939,0.6112545665586196
1740465223357,Gyro,154.5,0.049418908,25.695368,323.95932,0.0,0.0,0.0,6,25.744131589999995,323.8675855671562,0.6155045413821778
1740465223366,Gyro,154.5,0.039944116,25.655424,323.8261,0.0,0.0,0.0,6,25.704187590000004,323.90735890266683,0.6110920367037328
1740465223376,Gyro,154.5,0.09777041,25.557653,323.9591,0.0,0.0,0.0,6,25.60641658999998,323.8669146704345,0.6145769142875604
1740465223386,Gyro,154.5,0.06728329,25.49037,324.08054,0.0,0.0,0.0,6,25.539133590000006,323.9067409685047,0.6100933086880933
1740465223396,Gyro,154.5,0.079075776,25.411295,323.57037,0.0,0.0,0.0,6,25.460058590000017,323.98451171479263,0.6018573606360434
1740465223406,Gyro,154.5,0.08196206,25.329332,322.87082,0.0,0.0,0.0,6,25.378095589999987,323.78962175094034,0.6206775085725794
1740465223416,Gyro,154.5,0.082550965,25.246782,321.87085,0.0,0.0,0.0,6,25.295545590000017,323.36054345464083,0.6627335938631462
1740465223426,Gyro,154.5,0.15435874,25.092424,320.91806,0.0,0.0,0.0,6,25.141187590000015,322.6668118313971,0.7311056134469494
1740465223436,Gyro,154.5,0.06444311,25.02798,320.5273,0.0,0.0,0.0,6,25.076743589999978,321.85206505149296,0.811346462886945
1740465223446,Gyro,154.5,0.049285706,24.978695,320.1504,0.0,0.0,0.0,6,25.02745858999998,321.23347635662896,0.8720192307267339
1740465223456,Gyro,154.5,0.033128627,24.945566,320.68362,0.0,0.0,0.0,6,24.994329590000007,320.7265849496551,0.9215258261219382
1740465223466,Gyro,154.5,0.022280348,24.923286,321.321,0.0,0.0,0.0,6,24.972049589999983,320.701834076352,0.923090851567216
