Quasi_Static_Interval_Number,Compass_Heading,True_Heading,Time,Step,Floor,east,north,Gyro_Magnitude
4,22.018473,12.413606529283925,1740465206803,143.0,0.0,39.02172872259763,10.345398,295.34580400465643
4,19.885973,12.413606529283925,1740465207063,143.5,0.0,38.39652287317173,0.35543823,289.8617563865576
4,19.80576,12.413606529283925,1740465207304,144.0,0.0,38.39540377766589,354.90924,295.7406297029347
4,21.841724,12.413606529283925,1740465207588,144.5,0.0,37.76681124016165,1.5873108,291.45467666860384
4,20.116356,12.413606529283925,1740465207825,145.0,0.0,37.76681124016165,0.7154541,290.370059736127
4,19.758745,12.413606529283925,1740465208003,145.5,0.0,37.71511218994317,358.2229,292.36221030562535
4,20.74808,12.413606529283925,1740465208503,146.0,0.0,37.71511218994317,1.1287537,297.8117031242008
4,21.652914,12.413606529283925,1740465208623,146.5,0.0,38.12525614668051,5.2848206,293.6843583816662
4,20.57519,12.413606529283925,1740465209044,147.0,0.0,38.1864770730425,3.9439697,300.772296649727
4,19.65808,12.413606529283925,1740465209303,147.5,0.0,38.1864770730425,357.25165,309.4049108501508
4,19.613087,12.413606529283925,1740465209523,148.0,0.0,38.433129832866854,353.36444,320.9385533142321
4,22.36759,12.413606529283925,1740465209843,148.5,0.0,39.72827629661272,357.1862,322.2650323152307
4,20.789772,12.413606529283925,1740465210164,149.0,0.0,42.74744144390399,3.9934692,320.62107776083593
4,19.213377,12.413606529283925,1740465210423,149.5,0.0,44.534089821730944,351.56012,328.12107480727155
4,20.538334,12.413606529283925,1740465210743,150.0,0.0,46.52922468728659,351.38785,331.71680825058627
4,21.371227,12.413606529283925,1740465210987,150.5,0.0,46.752214185533504,346.57544,334.6508805436376
4,20.111128,12.413606529283925,1740465211283,151.0,0.0,47.931754870857795,350.22232,336.77246574648234
4,19.645523,12.413606529283925,1740465211403,151.5,0.0,48.00329578528957,339.48553,337.9306968700668
4,16.802982,12.413606529283925,1740465211763,152.0,0.0,48.00329578528957,330.81732,337.9746758160228
4,19.320045,12.413606529283925,1740465212004,152.5,0.0,47.931754870857795,332.58917,336.753484316866
4,16.651384,12.413606529283925,1740465212463,153.0,0.0,47.370382360711424,336.25742,334.1161961676891
4,16.483976,12.413606529283925,1740465212766,153.5,0.0,45.618492686628734,324.7831,329.9118914577216
4,17.369349,12.413606529283925,1740465213063,154.0,0.0,44.415210051350776,319.22855,323.9896740908299
4,18.437813,12.413606529283925,1740465213263,154.5,0.0,43.6404780591906,319.70355,316.19869479600413
